Symbol,Date,Duration,Quantity,Price,Invested
SCHD,07/20/2021,Long,3,74.50,223.50
SCHD,11/09/2021,Short,1,78.67,78.67
SCHD,11/18/2021,Short,2,78.59,157.18
SCHD,11/19/2021,Short,1,78.33,78.33
SCHD,01/31/2022,Short,2,77.68,155.36
SCHD,03/25/2022,Short,0.059,78.98,4.66
SCHD,04/01/2022,Short,5,78.65,393.25
SCHD,04/22/2022,Short,2,78.16,156.31
SCHD,04/25/2022,Short,1,76.57,76.57
SCHD,06/03/2022,Short,5,78.19,390.94
SCHD,06/17/2022,Short,10,70.19,701.86
SCHD,06/23/2022,Short,2.941,70.46,207.23
SCHD,08/01/2022,Short,5,74.31,371.53
SCHD,08/01/2022,Short,5,74.48,372.38
SCHD,08/17/2022,Short,2,77.31,154.62
SCHD,08/29/2022,Short,10,73.98,739.80
SCHD,08/30/2022,Short,3,73.60,220.79
SCHD,08/31/2022,Short,5,72.85,364.25
SCHD,08/31/2022,Short,5,73.09,365.43
SCHD,09/02/2022,Short,5,72.15,360.74
SCHD,09/13/2022,Short,10,72.79,727.90
SCHD,09/16/2022,Short,5,70.66,353.30
SCHD,09/21/2022,Short,5,69.62,348.10
SCHD,09/21/2022,Short,2,69.54,139.08
SCHD,09/22/2022,Short,3,69.29,207.87
