Name,Symbol,Weight,Price,Sector
VERIZON COMMUNICATIONS INC,VZ,4.06257799,38.52,Telecommunication Services
TEXAS INSTRUMENT INC,TXN,4.05739511,156.2,Information Technology
INTERNATIONAL BUSINESS MACHINES CO,IBM,4.047502732,120.87,Information Technology
MERCK & CO INC,MRK,4.036171119,86.43,Health Care
BROADCOM INC,AVGO,4.020495211,445.15,Information Technology
PFIZER INC,PFE,3.986309099,44.03,Health Care
PEPSICO INC,PEP,3.941335527,165.41,Consumer Staples
COCA-COLA,KO,3.896216162,56.04,Consumer Staples
CISCO SYSTEMS INC,CSCO,3.892288213,40.17,Information Technology
AMGEN INC,AMGN,3.814947772,227.28,Health Care
HOME DEPOT INC,HD,3.814944444,275.67,Consumer Discretionary
LOCKHEED MARTIN CORP,LMT,3.574678242,387.59,Industrials
AUTOMATIC DATA PROCESSING INC,ADP,3.568335242,225.48,Information Technology
BLACKROCK INC,BLK,3.275609329,561.92,Financials
ALTRIA GROUP INC,MO,2.815303176,41.02,Consumer Staples
EOG RESOURCES INC,EOG,2.556072811,111.73,Energy
3M,MMM,2.339970665,111.7,Industrials
US BANCORP,USB,2.26104922,40.85,Financials
ILLINOIS TOOL INC,ITW,2.027827733,182.57,Industrials
VALERO ENERGY CORP,VLO,1.547885324,106.29,Energy
KIMBERLY CLARK CORP,KMB,1.499534857,115.14,Consumer Staples
PAYCHEX INC,PAYX,1.414544002,112.39,Information Technology
ALLSTATE CORP,ALL,1.316118128,125.16,Financials
PRUDENTIAL FINANCIAL INC,PRU,1.283188853,85.91,Financials
NEWMONT,NEM,1.273189378,41.56,Materials
M&T BANK CORP,MTB,1.217676156,174.3,Financials
CUMMINS INC,CMI,1.099855165,201.82,Industrials
FASTENAL,FAST,1.010166125,46.32,Industrials
ONEOK INC,OKE,0.9856100042,51.75,Energy
T ROWE PRICE GROUP INC,TROW,0.9383148957,107,Financials
FIFTH THIRD BANCORP,FITB,0.8811047715,31.95,Financials
GENUINE PARTS,GPC,0.8134194105,149.4,Consumer Discretionary
HARTFORD FINANCIAL SERVICES GROUP,HIG,0.7843734499,62.57,Financials
TYSON FOODS INC CLASS A,TSN,0.7652962719,66.3,Consumer Staples
REGIONS FINANCIAL CORP,RF,0.7531285584,19.82,Financials
LYONDELLBASELL INDUSTRIES NV CLASS,LYB,0.7318430504,74.05,Materials
HUNTINGTON BANCSHARES INC,HBAN,0.7316901272,13.08,Financials
NORTHERN TRUST CORP,NTRS,0.7204494812,85.9,Financials
PRINCIPAL FINANCIAL GROUP INC,PFG,0.6593580335,71.39,Financials
KELLOGG,K,0.6563780142,71.17,Consumer Staples
AMCOR PLC,AMCR,0.6404023123,10.71,Materials
KEYCORP,KEY,0.6024860808,15.99,Financials
BEST BUY INC,BBY,0.5427205026,64.31,Consumer Discretionary
CINCINNATI FINANCIAL CORP,CINF,0.5358598296,91.7,Financials
PARAMOUNT GLOBAL CLASS B,PARA,0.509275855,18.81,Telecommunication Services
OMNICOM GROUP INC,OMC,0.5069560222,63.64,Telecommunication Services
INTERNATIONAL PAPER,IP,0.4904881455,31.88,Materials
FIRST HORIZON CORP,FHN,0.4562632716,23.14,Financials
SNAP ON INC,SNA,0.4269012356,202.7,Industrials
FIDELITY NATIONAL FINANCIAL INC,FNF,0.4125696244,36.06,Financials
INTERPUBLIC GROUP OF COMPANIES INC,IPG,0.395008648,25.67,Telecommunication Services
NRG ENERGY INC,NRG,0.3785091383,38.91,Utilities
COMERICA INC,CMA,0.3759923127,72.08,Financials
HASBRO INC,HAS,0.3677789826,67.94,Consumer Discretionary
WATSCO INC,WSO,0.3287180083,256.3,Industrials
ZIONS BANCORPORATION,ZION,0.3202072913,51.45,Financials
WEBSTER FINANCIAL CORP,WBS,0.3068164575,44.98,Financials
WHIRLPOOL CORP,WHR,0.2999138924,137.35,Consumer Discretionary
UNUM,UNM,0.2980407175,38.57,Financials
H&R BLOCK INC,HRB,0.2638338912,43.29,Consumer Discretionary
FRANKLIN RESOURCES INC,BEN,0.2517988953,22.03,Financials
JEFFERIES FINANCIAL GROUP INC,JEF,0.2330866481,29.12,Financials
SYNOVUS FINANCIAL CORP,SNV,0.211832183,36.99,Financials
FIRST AMERICAN FINANCIAL CORP,FAF,0.1988812649,45.7,Financials
WESTERN UNION,WU,0.1985131239,13.51,Information Technology
FLOWERS FOODS INC,FLO,0.1897346422,24.97,Consumer Staples
LEGGETT & PLATT INC,LEG,0.1792691171,33.18,Consumer Discretionary
BANK OZK,OZK,0.1729139979,39.37,Financials
LAZARD LTD CLASS A,LAZ,0.1515209292,31.71,Financials
JANUS HENDERSON GROUP PLC,JHG,0.1465934081,21.44,Financials
INSPERITY INC,NSP,0.1403463998,102.72,Industrials
EVERCORE INC CLASS A,EVR,0.1345886862,80.96,Financials
RADIAN GROUP INC,RDN,0.1316270292,19.24,Financials
MSC INDUSTRIAL INC CLASS A,MSM,0.1308467588,73.16,Industrials
