Name,Symbol,Weight,Price,Sector
Apple Inc.,AAPL,7.322457,140.83,Information Technology
Microsoft Corporation,MSFT,5.718723,234.65,Information Technology
Amazon.com Inc.,AMZN,3.250178,113.17,Consumer Discretionary
Tesla Inc,TSLA,2.363473,266.47,Consumer Discretionary
Alphabet Inc. Class A,GOOGL,1.908203,96,Communication Services
Alphabet Inc. Class C,GOOG,1.713735,96.57,Communication Services
Berkshire Hathaway Inc. Class B,BRK.B,1.556401,267.53,Financials
UnitedHealth Group Incorporated,UNH,1.548031,502.79,Health Care
Johnson & Johnson,JNJ,1.412733,164.16,Health Care
Exxon Mobil Corporation,XOM,1.151796,88.3,Energy
Procter & Gamble Company,PG,1.045096,128.49,Consumer Staples
Meta Platforms Inc. Class A,META,1.032080,135.52,Communication Services
JPMorgan Chase & Co.,JPM,1.031536,105.5,Financials
NVIDIA Corporation,NVDA,1.010074,119.71,Information Technology
Visa Inc. Class A,V,0.969388,178.98,Information Technology
Home Depot Inc.,HD,0.897458,275.55,Consumer Discretionary
Chevron Corporation,CVX,0.840245,143.54,Energy
AbbVie Inc.,ABBV,0.815223,142,Health Care
Mastercard Incorporated Class A,MA,0.807310,285.1,Information Technology
Pfizer Inc.,PFE,0.797331,44.03,Health Care
Eli Lilly and Company,LLY,0.791658,328.15,Health Care
PepsiCo Inc.,PEP,0.748609,165.06,Consumer Staples
Coca-Cola Company,KO,0.734536,56.04,Consumer Staples
Bank of America Corp,BAC,0.714891,30.54,Financials
Merck & Co. Inc.,MRK,0.708524,86.4,Health Care
Costco Wholesale Corporation,COST,0.665853,474.27,Consumer Staples
Thermo Fisher Scientific Inc.,TMO,0.657608,512.7,Health Care
Broadcom Inc.,AVGO,0.609969,445.15,Information Technology
Walmart Inc.,WMT,0.597491,131.74,Consumer Staples
Walt Disney Company,DIS,0.584623,96.34,Communication Services
McDonald's Corporation,MCD,0.583066,232.52,Consumer Discretionary
Abbott Laboratories,ABT,0.568245,97.75,Health Care
Danaher Corporation,DHR,0.559736,260.81,Health Care
Cisco Systems Inc.,CSCO,0.542661,40.17,Information Technology
Verizon Communications Inc.,VZ,0.534920,38.53,Communication Services
Accenture Plc Class A,ACN,0.529060,256.65,Information Technology
NextEra Energy Inc.,NEE,0.522547,79.55,Utilities
Wells Fargo & Company,WFC,0.494002,40.3,Financials
Bristol-Myers Squibb Company,BMY,0.486612,71.22,Health Care
Texas Instruments Incorporated,TXN,0.474971,156.2,Information Technology
Salesforce Inc.,CRM,0.471435,146.17,Information Technology
Philip Morris International Inc.,PM,0.458590,85.79,Consumer Staples
Comcast Corporation Class A,CMCSA,0.451911,30.16,Communication Services
QUALCOMM Incorporated,QCOM,0.438631,113.55,Information Technology
Linde plc,LIN,0.432304,267.88,Materials
Adobe Incorporated,ADBE,0.429211,276.34,Information Technology
CVS Health Corporation,CVS,0.416134,96.2,Health Care
ConocoPhillips,COP,0.412711,102.58,Energy
Union Pacific Corporation,UNP,0.411549,197.79,Industrials
